application_id,customer_id,loan_amount,loan_type,source_channel,current_stage,ask_ailo_used,ocr_documents_scanned,lender_id,offered_rate,inquiry_started_at,ace_prefill_at,neo_matched_at,lender_approved_at,settled_at,mins_to_prefill,mins_to_match
app_26,app_26,99180.9,Home Loan,Organic,Settled & Funded,1,1,20.0,10.22,2025-05-23 18:32:36.000000,2025-05-23 18:38:36.000000,2025-05-23 18:43:36.000000,2025-06-01 18:43:36.000000,2025-06-07 18:43:36.000000,6.0,5.0
app_27,app_27,109962.15,Home Loan,Organic,Inquiry Started,1,0,,,2025-12-17 17:23:42.000000,,,,,,
app_28,app_28,139918.9,Business / Equipment,Mortgage Broker,Inquiry Started,0,0,,,2025-07-02 05:24:38.000000,,,,,,
app_29,app_29,124196.8,Business / Equipment,Synapses API,Project Neo Matched,0,1,21.0,9.55,2026-01-26 03:51:03.000000,2026-01-26 04:00:03.000000,2026-01-26 04:06:03.000000,,,9.0,6.0
app_30,app_30,34485.19,Business / Equipment,TikTok/Meta Ads,Inquiry Started,0,0,,,2026-01-17 11:50:16.000000,,,,,,
app_31,app_31,16893.46,Personal Loan,TikTok/Meta Ads,Project Neo Matched,1,3,22.0,8.78,2025-10-10 08:38:30.000000,2025-10-10 08:44:30.000000,2025-10-10 08:47:30.000000,,,6.0,3.0
app_32,app_32,100851.35,Personal Loan,Synapses API,Project Neo Matched,0,4,23.0,4.61,2025-09-26 02:24:40.000000,2025-09-26 02:29:40.000000,2025-09-26 02:32:40.000000,,,5.0,3.0
app_33,app_33,130853.94,Car / Asset Finance,Mortgage Broker,Settled & Funded,1,2,24.0,10.55,2025-11-07 19:18:20.000000,2025-11-07 19:26:20.000000,2025-11-07 19:29:20.000000,2025-11-18 19:29:20.000000,2025-11-21 19:29:20.000000,8.0,3.0
app_34,app_34,122912.68,Business / Equipment,Organic,Project Neo Matched,0,2,25.0,5.35,2026-02-27 04:26:56.000000,2026-02-27 04:32:56.000000,2026-02-27 04:39:56.000000,,,6.0,7.0
app_35,app_35,142191.71,Business / Equipment,Organic,Settled & Funded,0,4,26.0,6.52,2025-11-10 08:54:21.000000,2025-11-10 08:59:21.000000,2025-11-10 09:00:21.000000,2025-11-23 09:00:21.000000,2025-11-25 09:00:21.000000,5.0,1.0
app_36,app_36,21682.43,Car / Asset Finance,Organic,Inquiry Started,1,0,,,2025-11-09 14:00:31.000000,,,,,,
app_37,app_37,53419.09,Business / Equipment,Mortgage Broker,Project Neo Matched,0,3,27.0,6.56,2025-05-27 11:15:05.000000,2025-05-27 11:16:05.000000,2025-05-27 11:23:05.000000,,,1.0,7.0
app_38,app_38,90778.28,Car / Asset Finance,Mortgage Broker,Project Neo Matched,0,4,28.0,10.15,2025-10-28 21:52:59.000000,2025-10-28 21:54:59.000000,2025-10-28 22:00:59.000000,,,2.0,6.0
app_39,app_39,98936.51,Business / Equipment,Organic,Settled & Funded,0,4,15.0,4.63,2026-01-05 20:17:52.000000,2026-01-05 20:20:52.000000,2026-01-05 20:26:52.000000,2026-01-13 20:26:52.000000,2026-01-20 20:26:52.000000,3.0,6.0
app_40,app_40,33188.23,Home Loan,Organic,Project Neo Matched,1,2,18.0,5.95,2026-02-01 14:24:13.000000,2026-02-01 14:31:13.000000,2026-02-01 14:40:13.000000,,,7.0,9.0
app_41,app_41,149419.47,Home Loan,Synapses API,Settled & Funded,1,2,29.0,9.52,2025-11-18 15:40:24.000000,2025-11-18 15:42:24.000000,2025-11-18 15:50:24.000000,2025-11-19 15:50:24.000000,2025-11-26 15:50:24.000000,2.0,8.0
app_42,app_42,8131.16,Business / Equipment,Mortgage Broker,Project Neo Matched,0,2,30.0,12.32,2025-06-02 11:57:49.000000,2025-06-02 12:02:49.000000,2025-06-02 12:09:49.000000,,,5.0,7.0
app_43,app_43,87273.47,Business / Equipment,Mortgage Broker,Settled & Funded,0,2,31.0,7.69,2025-08-01 11:02:09.000000,2025-08-01 11:12:09.000000,2025-08-01 11:14:09.000000,2025-08-14 11:14:09.000000,2025-08-20 11:14:09.000000,10.0,2.0
app_44,app_44,103371.75,Business / Equipment,Synapses API,Inquiry Started,1,0,,,2025-08-15 14:46:49.000000,,,,,,
app_45,app_45,110729.91,Business / Equipment,Organic,Settled & Funded,1,3,32.0,9.14,2025-09-19 14:14:07.000000,2025-09-19 14:22:07.000000,2025-09-19 14:25:07.000000,2025-10-02 14:25:07.000000,2025-10-06 14:25:07.000000,8.0,3.0
app_46,app_46,13932.42,Home Loan,Organic,Settled & Funded,1,3,33.0,8.14,2025-07-17 22:31:54.000000,2025-07-17 22:34:54.000000,2025-07-17 22:36:54.000000,2025-07-28 22:36:54.000000,2025-07-31 22:36:54.000000,3.0,2.0
app_47,app_47,29193.55,Personal Loan,TikTok/Meta Ads,Project Neo Matched,0,1,34.0,9.69,2025-04-05 13:07:15.000000,2025-04-05 13:15:15.000000,2025-04-05 13:17:15.000000,,,8.0,2.0
app_48,app_48,131393.83,Car / Asset Finance,Synapses API,Project Neo Matched,0,3,35.0,10.57,2026-02-16 22:42:53.000000,2026-02-16 22:48:53.000000,2026-02-16 22:54:53.000000,,,6.0,6.0
app_49,app_49,53418.66,Business / Equipment,Mortgage Broker,Settled & Funded,1,1,36.0,7.35,2025-12-19 23:32:36.000000,2025-12-19 23:39:36.000000,2025-12-19 23:49:36.000000,2025-12-26 23:49:36.000000,2025-12-31 23:49:36.000000,7.0,10.0
app_50,app_50,16506.54,Business / Equipment,Organic,Inquiry Started,0,0,,,2025-05-22 13:03:02.000000,,,,,,
app_51,app_51,104078.29,Home Loan,TikTok/Meta Ads,Settled & Funded,0,3,25.0,5.01,2026-01-18 16:31:05.000000,2026-01-18 16:34:05.000000,2026-01-18 16:36:05.000000,2026-01-27 16:36:05.000000,2026-02-03 16:36:05.000000,3.0,2.0
app_52,app_52,130090.48,Car / Asset Finance,TikTok/Meta Ads,Settled & Funded,0,2,37.0,12.47,2025-12-06 08:36:47.000000,2025-12-06 08:44:47.000000,2025-12-06 08:55:47.000000,2025-12-13 08:55:47.000000,2025-12-17 08:55:47.000000,8.0,11.0
app_53,app_53,128346.29,Business / Equipment,TikTok/Meta Ads,Inquiry Started,1,0,,,2025-12-09 17:11:55.000000,,,,,,
app_54,app_54,57232.29,Business / Equipment,Synapses API,Inquiry Started,0,0,,,2026-01-15 02:50:36.000000,,,,,,
app_55,app_55,52086.55,Personal Loan,Organic,Settled & Funded,0,2,38.0,7.39,2026-02-08 10:12:43.000000,2026-02-08 10:22:43.000000,2026-02-08 10:31:43.000000,2026-02-21 10:31:43.000000,2026-02-24 10:31:43.000000,10.0,9.0
app_56,app_56,109529.85,Personal Loan,Organic,Inquiry Started,0,0,,,2025-03-21 02:58:05.000000,,,,,,
app_57,app_57,144695.39,Personal Loan,Synapses API,Settled & Funded,1,2,39.0,5.72,2025-11-05 17:30:36.000000,2025-11-05 17:33:36.000000,2025-11-05 17:36:36.000000,2025-11-16 17:36:36.000000,2025-11-18 17:36:36.000000,3.0,3.0
app_58,app_58,42593.16,Car / Asset Finance,Synapses API,Lender Approved,0,3,40.0,6.77,2025-08-06 09:39:48.000000,2025-08-06 09:49:48.000000,2025-08-06 10:02:48.000000,2025-08-09 10:02:48.000000,,10.0,13.0
app_59,app_59,119991.58,Car / Asset Finance,Mortgage Broker,Settled & Funded,0,2,41.0,10.73,2026-01-12 21:09:03.000000,2026-01-12 21:14:03.000000,2026-01-12 21:27:03.000000,2026-01-14 21:27:03.000000,2026-01-16 21:27:03.000000,5.0,13.0
app_60,app_60,11591.92,Home Loan,TikTok/Meta Ads,Project Neo Matched,0,4,42.0,5.36,2025-05-07 11:01:30.000000,2025-05-07 11:03:30.000000,2025-05-07 11:04:30.000000,,,2.0,1.0
app_61,app_61,90278.78,Car / Asset Finance,Synapses API,Settled & Funded,1,3,43.0,4.98,2026-02-09 05:06:37.000000,2026-02-09 05:14:37.000000,2026-02-09 05:29:37.000000,2026-02-22 05:29:37.000000,2026-02-23 05:29:37.000000,8.0,15.0
app_62,app_62,11712.48,Home Loan,Synapses API,Settled & Funded,1,1,27.0,4.59,2025-10-06 04:03:24.000000,2025-10-06 04:07:24.000000,2025-10-06 04:10:24.000000,2025-10-08 04:10:24.000000,2025-10-13 04:10:24.000000,4.0,3.0
app_63,app_63,124940.55,Home Loan,Synapses API,Project Neo Matched,1,3,44.0,6.09,2026-02-05 06:02:23.000000,2026-02-05 06:06:23.000000,2026-02-05 06:15:23.000000,,,4.0,9.0
app_64,app_64,22698.31,Car / Asset Finance,Synapses API,Settled & Funded,0,4,45.0,7.22,2025-08-26 07:49:02.000000,2025-08-26 07:54:02.000000,2025-08-26 07:59:02.000000,2025-09-01 07:59:02.000000,2025-09-06 07:59:02.000000,5.0,5.0
app_65,app_65,130775.5,Car / Asset Finance,Mortgage Broker,Inquiry Started,0,0,,,2025-11-12 14:52:03.000000,,,,,,
app_66,app_66,66124.7,Home Loan,Synapses API,Inquiry Started,0,0,,,2025-05-05 11:09:26.000000,,,,,,
app_67,app_67,57199.38,Personal Loan,TikTok/Meta Ads,Settled & Funded,1,1,46.0,4.57,2025-10-02 11:47:31.000000,2025-10-02 11:50:31.000000,2025-10-02 11:54:31.000000,2025-10-16 11:54:31.000000,2025-10-18 11:54:31.000000,3.0,4.0
app_68,app_68,25113.94,Business / Equipment,Organic,Project Neo Matched,0,1,15.0,10.62,2026-03-08 05:23:28.000000,2026-03-08 05:27:28.000000,2026-03-08 05:36:28.000000,,,4.0,9.0
app_69,app_69,84321.57,Personal Loan,Synapses API,Project Neo Matched,0,2,47.0,11.98,2026-02-23 18:45:03.000000,2026-02-23 18:49:03.000000,2026-02-23 18:57:03.000000,,,4.0,8.0
app_70,app_70,19954.51,Car / Asset Finance,Synapses API,Project Neo Matched,0,2,48.0,8.1,2025-06-16 16:26:34.000000,2025-06-16 16:29:34.000000,2025-06-16 16:35:34.000000,,,3.0,6.0
app_71,app_71,142197.08,Business / Equipment,Organic,Settled & Funded,0,3,22.0,6.69,2025-06-07 00:32:04.000000,2025-06-07 00:35:04.000000,2025-06-07 00:40:04.000000,2025-06-09 00:40:04.000000,2025-06-13 00:40:04.000000,3.0,5.0
app_72,app_72,56271.78,Home Loan,Synapses API,Inquiry Started,1,0,,,2025-08-04 17:28:39.000000,,,,,,
app_73,app_73,53913.85,Car / Asset Finance,Synapses API,Settled & Funded,1,4,49.0,8.2,2025-03-21 04:16:31.000000,2025-03-21 04:25:31.000000,2025-03-21 04:38:31.000000,2025-03-25 04:38:31.000000,2025-03-27 04:38:31.000000,9.0,13.0
app_74,app_74,143449.17,Business / Equipment,Organic,Project Neo Matched,0,1,50.0,9.18,2025-06-02 12:19:40.000000,2025-06-02 12:27:40.000000,2025-06-02 12:37:40.000000,,,8.0,10.0
app_75,app_75,35091.69,Car / Asset Finance,Organic,Lender Approved,0,2,51.0,11.89,2026-03-02 06:09:29.000000,2026-03-02 06:13:29.000000,2026-03-02 06:20:29.000000,2026-03-13 06:20:29.000000,,4.0,7.0
app_76,app_76,98200.55,Business / Equipment,Synapses API,Settled & Funded,0,4,52.0,9.63,2025-06-03 04:39:16.000000,2025-06-03 04:42:16.000000,2025-06-03 04:49:16.000000,2025-06-16 04:49:16.000000,2025-06-18 04:49:16.000000,3.0,7.0
app_77,app_77,116382.02,Business / Equipment,Mortgage Broker,Settled & Funded,0,3,53.0,6.67,2025-11-04 19:40:03.000000,2025-11-04 19:50:03.000000,2025-11-04 19:57:03.000000,2025-11-09 19:57:03.000000,2025-11-11 19:57:03.000000,10.0,7.0
app_78,app_78,22593.25,Business / Equipment,Synapses API,Lender Approved,1,4,20.0,10.98,2025-11-11 01:51:00.000000,2025-11-11 01:53:00.000000,2025-11-11 02:03:00.000000,2025-11-16 02:03:00.000000,,2.0,10.0
app_79,app_79,145679.58,Car / Asset Finance,Organic,Settled & Funded,1,4,54.0,9.48,2025-08-23 04:30:56.000000,2025-08-23 04:37:56.000000,2025-08-23 04:47:56.000000,2025-08-27 04:47:56.000000,2025-09-03 04:47:56.000000,7.0,10.0
app_80,app_80,44929.79,Personal Loan,Organic,Lender Approved,0,3,55.0,10.19,2025-05-27 21:38:12.000000,2025-05-27 21:47:12.000000,2025-05-27 21:48:12.000000,2025-06-10 21:48:12.000000,,9.0,1.0
app_81,app_81,110389.88,Home Loan,Synapses API,Settled & Funded,0,2,56.0,11.46,2025-04-16 05:50:04.000000,2025-04-16 05:52:04.000000,2025-04-16 05:57:04.000000,2025-04-23 05:57:04.000000,2025-04-28 05:57:04.000000,2.0,5.0
app_82,app_82,93887.13,Car / Asset Finance,Organic,Inquiry Started,0,0,,,2026-01-26 14:26:06.000000,,,,,,
app_83,app_83,60072.07,Home Loan,Synapses API,Inquiry Started,0,0,,,2025-05-16 13:55:47.000000,,,,,,
app_84,app_84,56685.98,Home Loan,Synapses API,Inquiry Started,0,0,,,2025-07-16 23:42:47.000000,,,,,,
app_85,app_85,127810.85,Personal Loan,Mortgage Broker,Settled & Funded,1,1,57.0,6.67,2025-11-17 10:37:21.000000,2025-11-17 10:41:21.000000,2025-11-17 10:51:21.000000,2025-11-29 10:51:21.000000,2025-12-04 10:51:21.000000,4.0,10.0
app_86,app_86,60800.82,Business / Equipment,TikTok/Meta Ads,Settled & Funded,0,3,13.0,5.76,2026-01-30 21:23:40.000000,2026-01-30 21:30:40.000000,2026-01-30 21:38:40.000000,2026-02-09 21:38:40.000000,2026-02-14 21:38:40.000000,7.0,8.0
app_87,app_87,81937.43,Personal Loan,Synapses API,Project Neo Matched,0,2,58.0,11.24,2026-02-27 13:41:09.000000,2026-02-27 13:47:09.000000,2026-02-27 13:59:09.000000,,,6.0,12.0
app_88,app_88,92290.66,Personal Loan,Mortgage Broker,Inquiry Started,0,0,,,2025-12-13 09:42:29.000000,,,,,,
app_89,app_89,80310.72,Business / Equipment,Organic,Settled & Funded,1,2,35.0,11.44,2025-09-16 03:10:48.000000,2025-09-16 03:12:48.000000,2025-09-16 03:25:48.000000,2025-09-17 03:25:48.000000,2025-09-18 03:25:48.000000,2.0,13.0
app_90,app_90,38424.84,Personal Loan,Mortgage Broker,Settled & Funded,0,2,59.0,7.68,2025-08-17 23:05:00.000000,2025-08-17 23:08:00.000000,2025-08-17 23:09:00.000000,2025-08-22 23:09:00.000000,2025-08-28 23:09:00.000000,3.0,1.0
app_91,app_91,101279.97,Business / Equipment,Synapses API,Lender Approved,0,1,60.0,9.32,2025-08-07 07:20:52.000000,2025-08-07 07:22:52.000000,2025-08-07 07:26:52.000000,2025-08-16 07:26:52.000000,,2.0,4.0
app_92,app_92,97629.9,Home Loan,Organic,Project Neo Matched,0,3,61.0,4.77,2025-05-01 02:00:26.000000,2025-05-01 02:02:26.000000,2025-05-01 02:17:26.000000,,,2.0,15.0
app_93,app_93,120677.58,Car / Asset Finance,Organic,Settled & Funded,0,3,62.0,11.76,2025-11-01 19:54:01.000000,2025-11-01 20:00:01.000000,2025-11-01 20:07:01.000000,2025-11-11 20:07:01.000000,2025-11-15 20:07:01.000000,6.0,7.0
app_94,app_94,142462.5,Home Loan,Mortgage Broker,Lender Approved,0,2,63.0,6.04,2025-07-31 01:06:49.000000,2025-07-31 01:08:49.000000,2025-07-31 01:19:49.000000,2025-08-10 01:19:49.000000,,2.0,11.0
app_95,app_95,147650.56,Business / Equipment,Organic,Inquiry Started,1,0,,,2026-03-03 02:41:47.000000,,,,,,
app_96,app_96,116443.52,Personal Loan,Organic,Settled & Funded,0,3,64.0,5.85,2025-10-14 18:10:46.000000,2025-10-14 18:16:46.000000,2025-10-14 18:31:46.000000,2025-10-27 18:31:46.000000,2025-11-02 18:31:46.000000,6.0,15.0
app_97,app_97,131937.21,Personal Loan,Organic,Inquiry Started,0,0,,,2025-04-26 04:07:13.000000,,,,,,
app_98,app_98,145195.68,Personal Loan,Synapses API,Lender Approved,1,4,65.0,7.43,2025-06-22 02:07:16.000000,2025-06-22 02:10:16.000000,2025-06-22 02:22:16.000000,2025-07-06 02:22:16.000000,,3.0,12.0
app_99,app_99,28424.63,Home Loan,Organic,Inquiry Started,0,0,,,2025-04-26 12:53:32.000000,,,,,,
app_100,app_100,143041.44,Home Loan,TikTok/Meta Ads,Inquiry Started,0,0,,,2025-06-20 04:05:34.000000,,,,,,
app_101,app_101,78799.34,Personal Loan,TikTok/Meta Ads,Inquiry Started,0,0,,,2026-01-26 22:34:28.000000,,,,,,
app_102,app_102,110643.6,Business / Equipment,Mortgage Broker,Settled & Funded,0,4,66.0,5.1,2025-07-11 06:18:44.000000,2025-07-11 06:27:44.000000,2025-07-11 06:29:44.000000,2025-07-21 06:29:44.000000,2025-07-27 06:29:44.000000,9.0,2.0
app_103,app_103,57398.58,Home Loan,Mortgage Broker,Inquiry Started,0,0,,,2025-04-04 01:27:45.000000,,,,,,
app_104,app_104,50316.26,Personal Loan,Organic,Project Neo Matched,0,2,33.0,9.92,2025-11-25 00:00:54.000000,2025-11-25 00:05:54.000000,2025-11-25 00:17:54.000000,,,5.0,12.0
app_105,app_105,49303.89,Business / Equipment,Mortgage Broker,Inquiry Started,1,0,,,2025-09-23 19:23:21.000000,,,,,,
app_106,app_106,35312.25,Home Loan,Organic,Settled & Funded,1,1,50.0,11.61,2026-03-16 10:37:44.000000,2026-03-16 10:47:44.000000,2026-03-16 11:02:44.000000,2026-03-26 11:02:44.000000,2026-03-30 11:02:44.000000,10.0,15.0
app_107,app_107,81886.21,Home Loan,Organic,Settled & Funded,1,2,21.0,8.61,2025-11-13 21:52:02.000000,2025-11-13 21:55:02.000000,2025-11-13 22:00:02.000000,2025-11-21 22:00:02.000000,2025-11-22 22:00:02.000000,3.0,5.0
app_108,app_108,94734.05,Car / Asset Finance,Organic,Inquiry Started,1,0,,,2025-12-22 00:38:04.000000,,,,,,
app_109,app_109,144648.72,Car / Asset Finance,TikTok/Meta Ads,Settled & Funded,0,1,67.0,5.61,2025-09-04 20:18:37.000000,2025-09-04 20:22:37.000000,2025-09-04 20:23:37.000000,2025-09-15 20:23:37.000000,2025-09-22 20:23:37.000000,4.0,1.0
app_110,app_110,43154.29,Business / Equipment,Organic,Inquiry Started,0,0,,,2025-10-12 13:21:23.000000,,,,,,
app_111,app_111,63114.26,Business / Equipment,Organic,Project Neo Matched,0,1,68.0,6.39,2025-10-12 14:13:24.000000,2025-10-12 14:22:24.000000,2025-10-12 14:32:24.000000,,,9.0,10.0
app_112,app_112,143919.32,Business / Equipment,TikTok/Meta Ads,Project Neo Matched,0,4,69.0,7.47,2025-03-23 09:09:38.000000,2025-03-23 09:17:38.000000,2025-03-23 09:29:38.000000,,,8.0,12.0
app_113,app_113,134752.18,Car / Asset Finance,Synapses API,Settled & Funded,1,4,70.0,6.45,2026-01-26 04:40:10.000000,2026-01-26 04:45:10.000000,2026-01-26 04:53:10.000000,2026-02-05 04:53:10.000000,2026-02-12 04:53:10.000000,5.0,8.0
app_114,app_114,46956.11,Home Loan,Organic,Settled & Funded,0,2,71.0,11.58,2025-08-31 04:16:51.000000,2025-08-31 04:19:51.000000,2025-08-31 04:32:51.000000,2025-09-06 04:32:51.000000,2025-09-13 04:32:51.000000,3.0,13.0
app_115,app_115,12763.01,Business / Equipment,Mortgage Broker,Project Neo Matched,1,1,72.0,4.93,2025-05-09 04:36:19.000000,2025-05-09 04:42:19.000000,2025-05-09 04:47:19.000000,,,6.0,5.0
app_116,app_116,32448.47,Personal Loan,Organic,Settled & Funded,1,1,73.0,11.27,2025-09-15 23:58:23.000000,2025-09-16 00:04:23.000000,2025-09-16 00:19:23.000000,2025-09-30 00:19:23.000000,2025-10-02 00:19:23.000000,6.0,15.0
app_117,app_117,40514.47,Business / Equipment,Synapses API,Project Neo Matched,1,1,26.0,10.67,2025-05-31 04:06:00.000000,2025-05-31 04:11:00.000000,2025-05-31 04:16:00.000000,,,5.0,5.0
app_118,app_118,32398.78,Home Loan,Synapses API,Settled & Funded,0,4,74.0,8.14,2025-11-15 17:39:00.000000,2025-11-15 17:46:00.000000,2025-11-15 17:47:00.000000,2025-11-29 17:47:00.000000,2025-12-04 17:47:00.000000,7.0,1.0
app_119,app_119,86997.49,Home Loan,Synapses API,Project Neo Matched,0,2,75.0,6.52,2025-09-06 17:43:02.000000,2025-09-06 17:46:02.000000,2025-09-06 17:49:02.000000,,,3.0,3.0
app_120,app_120,112662.2,Business / Equipment,Organic,Project Neo Matched,1,3,76.0,6.21,2026-01-27 16:28:16.000000,2026-01-27 16:34:16.000000,2026-01-27 16:41:16.000000,,,6.0,7.0
app_121,app_121,102977.33,Business / Equipment,Organic,Settled & Funded,1,2,9.0,5.0,2026-01-22 22:13:13.000000,2026-01-22 22:19:13.000000,2026-01-22 22:32:13.000000,2026-01-23 22:32:13.000000,2026-01-30 22:32:13.000000,6.0,13.0
app_122,app_122,106741.15,Car / Asset Finance,Organic,Project Neo Matched,1,2,15.0,10.45,2025-10-28 12:33:47.000000,2025-10-28 12:35:47.000000,2025-10-28 12:45:47.000000,,,2.0,10.0
app_123,app_123,74337.15,Business / Equipment,Mortgage Broker,Project Neo Matched,1,1,77.0,5.17,2025-03-29 15:55:20.000000,2025-03-29 15:59:20.000000,2025-03-29 16:08:20.000000,,,4.0,9.0
app_124,app_124,34602.01,Home Loan,Synapses API,Settled & Funded,1,1,52.0,7.24,2026-02-23 19:32:20.000000,2026-02-23 19:37:20.000000,2026-02-23 19:45:20.000000,2026-02-27 19:45:20.000000,2026-03-06 19:45:20.000000,5.0,8.0
app_125,app_125,9235.93,Business / Equipment,Synapses API,Inquiry Started,1,0,,,2025-11-17 17:53:08.000000,,,,,,
app_126,app_126,111580.9,Home Loan,Organic,Project Neo Matched,0,3,75.0,7.26,2025-03-26 16:10:20.000000,2025-03-26 16:11:20.000000,2025-03-26 16:24:20.000000,,,1.0,13.0
